,Sunny,Morning Temperature,Crowd,Wind,Evening Temperature,Same,Yes
0,Sunny,Warm,High,Strong,Warm,Same,Yes
1,Rainy,Cold,High,Strong,Warm,Change,No
2,Sunny,Warm,High,Strong,Cool,Change,Yes
3,Sunny,Warm,High,Strong,Warm,,Yes
4,Sunny,Cold,Low,Strong,Cold,,No
5,Sunny,Warm,High,Strong,Warm,,Yes
6,Sunny,Cold,Low,Strong,Cold,,No
7,Sunny,Warm,High,Strong,Warm,,Yes
8,Sunny,Cold,Low,Strong,Cold,,No
9,Sunny,Warm,High,Strong,Warm,,Yes
10,Sunny,Cold,Low,Strong,Cold,,No
11,Sunny,Warm,High,Strong,Warm,,Yes
12,Sunny,Cold,Low,Strong,Cold,,No
13,Sunny,Warm,High,Strong,Warm,,Yes
14,Sunny,Cold,Low,Strong,Cold,,No
15,Sunny,Warm,High,Strong,Warm,,Yes
16,Sunny,Cold,Low,Strong,Cold,,No
17,Sunny,Warm,High,Strong,Warm,,Yes
18,Sunny,Cold,Low,Strong,Cold,,No
19,Sunny,Warm,High,Strong,Warm,,Yes
20,Sunny,Cold,Low,Strong,Cold,,No
21,Sunny,Warm,High,Strong,Warm,,Yes
22,Sunny,Cold,Low,Strong,Cold,,No
23,Sunny,Warm,High,Strong,Warm,,Yes
24,Sunny,Cold,Low,Strong,Cold,,No
25,Sunny,Warm,High,Strong,Warm,,Yes
26,Sunny,Cold,Low,Strong,Cold,,No
27,Sunny,Warm,High,Strong,Warm,,Yes
28,Sunny,Cold,Low,Strong,Cold,,No
29,Sunny,Warm,High,Strong,Warm,,Yes
30,Sunny,Cold,Low,Strong,Cold,,No
31,Sunny,Warm,High,Strong,Warm,,Yes
32,Sunny,Cold,Low,Strong,Cold,,No
33,Sunny,Warm,High,Strong,Warm,,Yes
34,Sunny,Cold,Low,Strong,Cold,,No
35,Sunny,Warm,High,Strong,Warm,,Yes
36,Sunny,Cold,Low,Strong,Cold,,No
37,Sunny,Warm,High,Strong,Warm,,Yes
38,Sunny,Cold,Low,Strong,Cold,,No
39,Sunny,Warm,High,Strong,Warm,,Yes
40,Sunny,Cold,Low,Strong,Cold,,No
41,Sunny,Warm,High,Strong,Warm,,Yes
42,Sunny,Cold,Low,Strong,Cold,,No
43,Sunny,Warm,High,Strong,Warm,,Yes
44,Sunny,Cold,Low,Strong,Cold,,No
45,Sunny,Warm,High,Strong,Warm,,Yes
46,Sunny,Cold,Low,Strong,Cold,,No
47,Sunny,Warm,High,Strong,Warm,,Yes
48,Sunny,Cold,Low,Strong,Cold,,No
49,Sunny,Warm,High,Strong,Warm,,Yes
50,Sunny,Cold,Low,Strong,Cold,,No
51,Sunny,Cold,High,Strong,Warm,,Yes
52,Sunny,Warm,Low,Strong,Cold,,No
53,Sunny,Cold,High,Strong,Warm,,Yes
54,Sunny,Warm,Low,Strong,Cold,,No
55,Sunny,Cold,High,Strong,Warm,,Yes
56,Sunny,Warm,Low,Strong,Cold,,No
57,Sunny,Cold,High,Strong,Warm,,Yes
58,Sunny,Warm,Low,Strong,Cold,,No
59,Sunny,Cold,High,Strong,Warm,,Yes
60,Sunny,Warm,Low,Strong,Cold,,No
61,Sunny,Cold,High,Strong,Warm,,Yes
62,Sunny,Warm,Low,Strong,Cold,,No
63,Sunny,Cold,High,Strong,Warm,,Yes
64,Sunny,Warm,Low,Strong,Cold,,No
65,Sunny,Cold,High,Strong,Warm,,Yes
66,Sunny,Warm,Low,Strong,Cold,,No
67,Sunny,Cold,High,Strong,Warm,,Yes
68,Sunny,Warm,Low,Strong,Cold,,No
69,Sunny,Cold,High,Strong,Warm,,Yes
70,Sunny,Warm,Low,Strong,Cold,,No
71,Sunny,Cold,High,Strong,Warm,,Yes
72,Sunny,Warm,Low,Strong,Cold,,No
73,Sunny,Cold,High,Strong,Warm,,Yes
74,Sunny,Warm,Low,Strong,Cold,,No
75,Sunny,Cold,High,Strong,Warm,,Yes
76,Sunny,Warm,Low,Strong,Cold,,No
77,Sunny,Cold,High,Strong,Warm,,Yes
78,Sunny,Warm,Low,Strong,Cold,,No
79,Sunny,Cold,High,Strong,Warm,,Yes
80,Sunny,Warm,Low,Strong,Cold,,No
81,Sunny,Cold,High,Strong,Warm,,Yes
82,Sunny,Warm,Low,Strong,Cold,,No
83,Sunny,Cold,High,Strong,Warm,,Yes
84,Sunny,Warm,Low,Strong,Cold,,No
85,Sunny,Cold,High,Strong,Warm,,Yes
86,Sunny,Warm,Low,Strong,Cold,,No
87,Sunny,Cold,High,Strong,Warm,,Yes
88,Sunny,Warm,Low,Strong,Cold,,No
89,Sunny,Cold,High,Strong,Warm,,Yes
90,Sunny,Warm,Low,Strong,Cold,,No
91,Sunny,Cold,High,Strong,Warm,,Yes
92,Sunny,Warm,Low,Strong,Cold,,No
93,Sunny,Cold,High,Strong,Warm,,Yes
94,Sunny,Warm,Low,Strong,Cold,,No
95,Sunny,Cold,High,Strong,Warm,,Yes
96,Sunny,Warm,Low,Strong,Cold,,No
97,Sunny,Cold,High,Strong,Warm,,Yes
98,Sunny,Warm,Low,Strong,Cold,,No
