Year,Month,CO2,Temp,
1983,5,345.96,0.109,
1983,6,345.52,0.118,
1983,7,344.15,0.137,
1983,8,342.25,0.176,
1983,9,340.17,0.149,
1983,10,340.3,0.093,
1983,11,341.53,0.232,
1983,12,343.07,0.078,
1984,1,344.05,0.089,
1984,2,344.77,0.013,
1984,3,345.46,0.049,
1984,4,346.77,-0.019,
1984,5,347.55,0.065,
1984,6,346.98,-0.016,
1984,7,345.55,-0.024,
1984,8,343.2,0.034,
1984,9,341.35,0.025,
1984,10,341.68,-0.035,
1984,11,343.06,-0.123,
1984,12,344.54,-0.282,
1985,1,345.25,-0.001,
1985,2,346.06,-0.155,
1985,3,347.66,-0.032,
1985,4,348.2,-0.042,
1985,5,348.92,0.001,
1985,6,348.4,-0.049,
1985,7,346.66,-0.042,
1985,8,344.85,0.013,
1985,9,343.2,-0.035,
1985,10,343.08,-0.008,
1985,11,344.4,-0.093,
1985,12,345.82,-0.002,
1986,1,346.54,0.121,
1986,2,347.13,0.065,
1986,3,348.05,0.049,
1986,4,349.77,0.045,
1986,5,350.53,0.023,
1986,6,349.9,0.055,
1986,7,348.11,0.004,
1986,8,346.09,-0.001,
1986,9,345.01,0.016,
1986,10,344.47,0.043,
1986,11,345.86,-0.033,
1986,12,347.15,0.022,
1987,1,348.38,0.116,
1987,2,348.7,0.266,
1987,3,349.72,0.021,
1987,4,351.32,0.084,
1987,5,352.14,0.145,
1987,6,351.61,0.121,
1987,7,349.91,0.238,
1987,8,347.84,0.219,
1987,9,346.52,0.25,
1987,10,346.65,0.174,
1987,11,347.96,0.186,
1987,12,349.18,0.314,
1988,1,350.38,0.334,
1988,2,351.68,0.189,
1988,3,352.24,0.248,
1988,4,353.66,0.224,
1988,5,354.18,0.175,
1988,6,353.68,0.2,
1988,7,352.58,0.168,
1988,8,350.66,0.154,
1988,9,349.03,0.149,
1988,10,349.08,0.12,
1988,11,350.15,0.027,
1988,12,351.44,0.106,
1989,1,352.89,0.019,
1989,2,353.24,0.094,
1989,3,353.8,0.088,
1989,4,355.59,0.083,
1989,5,355.89,0.073,
1989,6,355.3,0.094,
1989,7,353.98,0.167,
1989,8,351.53,0.168,
1989,9,350.02,0.135,
1989,10,350.29,0.145,
1989,11,351.44,0.067,
1989,12,352.84,0.181,
1990,1,353.79,0.187,
1990,2,354.88,0.242,
1990,3,355.65,0.442,
1990,4,356.28,0.285,
1990,5,357.29,0.231,
1990,6,356.32,0.233,
1990,7,354.89,0.196,
1990,8,352.89,0.227,
1990,9,351.28,0.179,
1990,10,351.59,0.271,
1990,11,353.05,0.278,
1990,12,354.27,0.199,
1991,1,354.87,0.224,
1991,2,355.68,0.272,
1991,3,357.06,0.161,
1991,4,358.51,0.299,
1991,5,359.09,0.249,
1991,6,358.1,0.269,
1991,7,356.12,0.271,
1991,8,353.89,0.225,
1991,9,352.3,0.176,
1991,10,352.32,0.133,
1991,11,353.79,0.079,
1991,12,355.07,0.084,
1992,1,356.17,0.266,
1992,2,356.93,0.25,
1992,3,357.82,0.199,
1992,4,359,0.132,
1992,5,359.55,0.125,
1992,6,359.32,0.118,
1992,7,356.85,-0.008,
1992,8,354.91,-0.007,
1992,9,352.93,-0.062,
1992,10,353.31,-0.072,
1992,11,354.27,-0.097,
1992,12,355.53,0.007,
1993,1,356.86,0.204,
1993,2,357.27,0.161,
1993,3,358.36,0.202,
1993,4,359.27,0.121,
1993,5,360.19,0.158,
1993,6,359.52,0.122,
1993,7,357.42,0.088,
1993,8,355.46,0.06,
1993,9,354.1,0.013,
1993,10,354.12,0.061,
1993,11,355.4,-0.041,
1993,12,356.84,0.111,
1994,1,358.22,0.16,
1994,2,358.98,-0.072,
1994,3,359.91,0.176,
1994,4,361.32,0.173,
1994,5,361.68,0.218,
1994,6,360.8,0.191,
1994,7,359.39,0.141,
1994,8,357.42,0.175,
1994,9,355.63,0.156,
1994,10,356.09,0.23,
1994,11,357.56,0.248,
1994,12,358.87,0.227,
1995,1,359.87,0.349,
1995,2,360.79,0.449,
1995,3,361.77,0.286,
1995,4,363.23,0.229,
1995,5,363.77,0.176,
1995,6,363.22,0.283,
1995,7,361.7,0.276,
1995,8,359.11,0.305,
1995,9,358.11,0.21,
1995,10,357.97,0.241,
1995,11,359.4,0.266,
1995,12,360.61,0.163,
1996,1,362.04,0.069,
1996,2,363.17,0.246,
1996,3,364.17,0.13,
1996,4,364.51,0.097,
1996,5,365.16,0.177,
1996,6,364.93,0.159,
1996,7,363.53,0.177,
1996,8,361.38,0.178,
1996,9,359.6,0.093,
1996,10,359.54,0.089,
1996,11,360.84,0.077,
1996,12,362.18,0.172,
1997,1,363.04,0.156,
1997,2,364.09,0.247,
1997,3,364.47,0.262,
1997,4,366.25,0.201,
1997,5,366.69,0.254,
1997,6,365.59,0.367,
1997,7,364.34,0.372,
1997,8,362.2,0.406,
1997,9,360.31,0.457,
1997,10,360.71,0.485,
1997,11,362.44,0.449,
1997,12,364.33,0.526,
1998,1,365.18,0.486,
1998,2,365.98,0.739,
1998,3,367.13,0.52,
1998,4,368.61,0.608,
1998,5,369.49,0.57,
1998,6,368.95,0.579,
1998,7,367.74,0.651,
1998,8,365.79,0.616,
1998,9,364.01,0.4,
1998,10,364.35,0.409,
1998,11,365.52,0.342,
1998,12,367.08,0.424,
1999,1,368.12,0.366,
1999,2,368.98,0.54,
1999,3,369.6,0.29,
1999,4,370.96,0.322,
1999,5,370.77,0.248,
1999,6,370.33,0.266,
1999,7,369.28,0.282,
1999,8,366.86,0.253,
1999,9,364.94,0.274,
1999,10,365.35,0.241,
1999,11,366.68,0.223,
1999,12,368.04,0.338,
2000,1,369.25,0.212,
